population_label,population_n,concentration_factor,heartland_density_pct,rpp_nap,threshold,alpha,nap_rise_pp,detects
floor,631059,1.0,9.0,2.0,0.15,0.4,6.61,False
floor,631059,1.0,9.0,2.0,0.15,0.55,9.09,False
floor,631059,1.0,9.0,2.0,0.15,0.7,11.57,False
floor,631059,1.0,9.0,2.0,0.175,0.4,6.61,False
floor,631059,1.0,9.0,2.0,0.175,0.55,9.09,False
floor,631059,1.0,9.0,2.0,0.175,0.7,11.57,False
floor,631059,1.0,9.0,2.0,0.2,0.4,6.61,False
floor,631059,1.0,9.0,2.0,0.2,0.55,9.09,False
floor,631059,1.0,9.0,2.0,0.2,0.7,11.57,False
floor,631059,1.0,9.0,3.0,0.15,0.4,9.16,False
floor,631059,1.0,9.0,3.0,0.15,0.55,12.59,False
floor,631059,1.0,9.0,3.0,0.15,0.7,16.03,True
floor,631059,1.0,9.0,3.0,0.175,0.4,9.16,False
floor,631059,1.0,9.0,3.0,0.175,0.55,12.59,False
floor,631059,1.0,9.0,3.0,0.175,0.7,16.03,False
floor,631059,1.0,9.0,3.0,0.2,0.4,9.16,False
floor,631059,1.0,9.0,3.0,0.2,0.55,12.59,False
floor,631059,1.0,9.0,3.0,0.2,0.7,16.03,False
floor,631059,1.0,9.0,4.0,0.15,0.4,11.34,False
floor,631059,1.0,9.0,4.0,0.15,0.55,15.6,True
floor,631059,1.0,9.0,4.0,0.15,0.7,19.85,True
floor,631059,1.0,9.0,4.0,0.175,0.4,11.34,False
floor,631059,1.0,9.0,4.0,0.175,0.55,15.6,False
floor,631059,1.0,9.0,4.0,0.175,0.7,19.85,True
floor,631059,1.0,9.0,4.0,0.2,0.4,11.34,False
floor,631059,1.0,9.0,4.0,0.2,0.55,15.6,False
floor,631059,1.0,9.0,4.0,0.2,0.7,19.85,False
floor,631059,2.0,18.0,2.0,0.15,0.4,12.21,False
floor,631059,2.0,18.0,2.0,0.15,0.55,16.79,True
floor,631059,2.0,18.0,2.0,0.15,0.7,21.37,True
