population_label,population_n,mode,rpp_nap,threshold,alpha,p_network_detect
floor,631059,A,2.0,0.15,0.4,0.0
floor,631059,A,2.0,0.15,0.55,0.0
floor,631059,A,2.0,0.15,0.7,0.0
floor,631059,A,2.0,0.175,0.4,0.0
floor,631059,A,2.0,0.175,0.55,0.0
floor,631059,A,2.0,0.175,0.7,0.0
floor,631059,A,2.0,0.2,0.4,0.0
floor,631059,A,2.0,0.2,0.55,0.0
floor,631059,A,2.0,0.2,0.7,0.0
floor,631059,A,3.0,0.15,0.4,0.0
floor,631059,A,3.0,0.15,0.55,0.0
floor,631059,A,3.0,0.15,0.7,0.0
floor,631059,A,3.0,0.175,0.4,0.0
floor,631059,A,3.0,0.175,0.55,0.0
floor,631059,A,3.0,0.175,0.7,0.0
floor,631059,A,3.0,0.2,0.4,0.0
floor,631059,A,3.0,0.2,0.55,0.0
floor,631059,A,3.0,0.2,0.7,0.0
floor,631059,A,4.0,0.15,0.4,0.0
floor,631059,A,4.0,0.15,0.55,0.0
floor,631059,A,4.0,0.15,0.7,0.0
floor,631059,A,4.0,0.175,0.4,0.0
floor,631059,A,4.0,0.175,0.55,0.0
floor,631059,A,4.0,0.175,0.7,0.0
floor,631059,A,4.0,0.2,0.4,0.0
floor,631059,A,4.0,0.2,0.55,0.0
floor,631059,A,4.0,0.2,0.7,0.0
floor,631059,B,2.0,0.15,0.4,0.0
floor,631059,B,2.0,0.15,0.55,0.0
floor,631059,B,2.0,0.15,0.7,0.0
floor,631059,B,2.0,0.175,0.4,0.0
floor,631059,B,2.0,0.175,0.55,0.0
floor,631059,B,2.0,0.175,0.7,0.0
floor,631059,B,2.0,0.2,0.4,0.0
floor,631059,B,2.0,0.2,0.55,0.0
floor,631059,B,2.0,0.2,0.7,0.0
floor,631059,B,3.0,0.15,0.4,0.0
floor,631059,B,3.0,0.15,0.55,0.0
floor,631059,B,3.0,0.15,0.7,0.0
floor,631059,B,3.0,0.175,0.4,0.0
floor,631059,B,3.0,0.175,0.55,0.0
floor,631059,B,3.0,0.175,0.7,0.0
floor,631059,B,3.0,0.2,0.4,0.0
floor,631059,B,3.0,0.2,0.55,0.0
floor,631059,B,3.0,0.2,0.7,0.0
floor,631059,B,4.0,0.15,0.4,0.0
floor,631059,B,4.0,0.15,0.55,0.0
floor,631059,B,4.0,0.15,0.7,0.0
floor,631059,B,4.0,0.175,0.4,0.0
floor,631059,B,4.0,0.175,0.55,0.0
floor,631059,B,4.0,0.175,0.7,0.0
floor,631059,B,4.0,0.2,0.4,0.0
floor,631059,B,4.0,0.2,0.55,0.0
floor,631059,B,4.0,0.2,0.7,0.0
central,1270000,A,2.0,0.15,0.4,0.0
central,1270000,A,2.0,0.15,0.55,0.0
central,1270000,A,2.0,0.15,0.7,0.0
central,1270000,A,2.0,0.175,0.4,0.0
central,1270000,A,2.0,0.175,0.55,0.0
central,1270000,A,2.0,0.175,0.7,0.0
central,1270000,A,2.0,0.2,0.4,0.0
central,1270000,A,2.0,0.2,0.55,0.0
central,1270000,A,2.0,0.2,0.7,0.0
central,1270000,A,3.0,0.15,0.4,0.0
central,1270000,A,3.0,0.15,0.55,0.0
central,1270000,A,3.0,0.15,0.7,0.0
central,1270000,A,3.0,0.175,0.4,0.0
central,1270000,A,3.0,0.175,0.55,0.0
central,1270000,A,3.0,0.175,0.7,0.0
central,1270000,A,3.0,0.2,0.4,0.0
central,1270000,A,3.0,0.2,0.55,0.0
central,1270000,A,3.0,0.2,0.7,0.0
central,1270000,A,4.0,0.15,0.4,0.0
central,1270000,A,4.0,0.15,0.55,0.0
central,1270000,A,4.0,0.15,0.7,0.0
central,1270000,A,4.0,0.175,0.4,0.0
central,1270000,A,4.0,0.175,0.55,0.0
central,1270000,A,4.0,0.175,0.7,0.0
central,1270000,A,4.0,0.2,0.4,0.0
central,1270000,A,4.0,0.2,0.55,0.0
central,1270000,A,4.0,0.2,0.7,0.0
central,1270000,B,2.0,0.15,0.4,0.0
central,1270000,B,2.0,0.15,0.55,0.0
central,1270000,B,2.0,0.15,0.7,0.0
central,1270000,B,2.0,0.175,0.4,0.0
central,1270000,B,2.0,0.175,0.55,0.0
central,1270000,B,2.0,0.175,0.7,0.0
central,1270000,B,2.0,0.2,0.4,0.0
central,1270000,B,2.0,0.2,0.55,0.0
central,1270000,B,2.0,0.2,0.7,0.0
central,1270000,B,3.0,0.15,0.4,0.0
central,1270000,B,3.0,0.15,0.55,0.0
central,1270000,B,3.0,0.15,0.7,0.0
central,1270000,B,3.0,0.175,0.4,0.0
central,1270000,B,3.0,0.175,0.55,0.0
central,1270000,B,3.0,0.175,0.7,0.0
central,1270000,B,3.0,0.2,0.4,0.0
central,1270000,B,3.0,0.2,0.55,0.0
central,1270000,B,3.0,0.2,0.7,0.0
central,1270000,B,4.0,0.15,0.4,0.0
central,1270000,B,4.0,0.15,0.55,0.0
central,1270000,B,4.0,0.15,0.7,0.0
central,1270000,B,4.0,0.175,0.4,0.0
central,1270000,B,4.0,0.175,0.55,0.0
central,1270000,B,4.0,0.175,0.7,0.0
central,1270000,B,4.0,0.2,0.4,0.0
central,1270000,B,4.0,0.2,0.55,0.0
central,1270000,B,4.0,0.2,0.7,0.0
