seed,train_design,eval_background,algorithm,auc,tss,boyce
0,random,uniform,maxent,0.6849449351778538,0.3854992872535007,0.682568379865822
0,random,uniform,xgboost,0.7352338423170866,0.49118215542616034,0.4115873827611874
0,random,uniform,randomforest,0.7120020408550098,0.42178841119363275,0.6392426332939981
0,random,tgb,maxent,0.6834624341123421,0.3827095487583369,0.6790453960766303
0,random,tgb,xgboost,0.7205660510153884,0.44615376839119103,0.525272963171311
0,random,tgb,randomforest,0.7112071314054098,0.4180195633048741,0.7197506058391505
0,random,hybrid,maxent,0.702822259395094,0.39732514262177887,0.7099124832266469
0,random,hybrid,xgboost,0.7373119131560325,0.458084206706247,0.6033407847394086
0,random,hybrid,randomforest,0.724687425947476,0.4374865789282282,0.6099229367665819
0,random,stratified,maxent,0.6968999806755931,0.40372826666113787,0.6804385665874622
0,random,stratified,xgboost,0.7275668043910115,0.4810128470180966,0.4115873827611874
0,random,stratified,randomforest,0.7093046857600145,0.41682251034633727,0.6392426332939981
0,tgb,uniform,maxent,0.6907188136978869,0.3842055452575599,0.6304258724314595
0,tgb,uniform,xgboost,0.7248251990118076,0.42689269891883425,0.5175597901002458
0,tgb,uniform,randomforest,0.7242980842501192,0.438482336607205,0.5564751057001529
0,tgb,tgb,maxent,0.688329940135303,0.39386881891045644,0.5916577789207949
0,tgb,tgb,xgboost,0.7222558085885928,0.43146206584823543,0.5365728615951901
0,tgb,tgb,randomforest,0.7221499541121306,0.43288208827305164,0.561098299082313
0,tgb,hybrid,maxent,0.6944633336767394,0.38631595661852935,0.6223148268989072
0,tgb,hybrid,xgboost,0.7294961454844312,0.42662892371955524,0.5175597901002458
0,tgb,hybrid,randomforest,0.7335674422905126,0.4566755703539595,0.5564751057001529
0,tgb,stratified,maxent,0.701229440709997,0.4092441865292953,0.6303307587879374
0,tgb,stratified,xgboost,0.7203737000229873,0.42584483704414866,0.5175597901002458
0,tgb,stratified,randomforest,0.7224565991070964,0.44165050635832703,0.5564751057001529
0,hybrid,uniform,maxent,0.6593583028561812,0.3470249804600266,0.6465057410431556
0,hybrid,uniform,xgboost,0.7120497906041058,0.3885672578872373,0.6938602076784632
0,hybrid,uniform,randomforest,0.6945642109386246,0.3977278160298508,0.5706411668553503
0,hybrid,tgb,maxent,0.6743830428419673,0.3558391055419244,0.6809106979778881
0,hybrid,tgb,xgboost,0.7189408573633664,0.4029515752585905,0.6549529258390893
0,hybrid,tgb,randomforest,0.7022168621019494,0.40926174862085024,0.5446936632762287
0,hybrid,hybrid,maxent,0.6997372203698642,0.3994584581143954,0.6439044288665433
0,hybrid,hybrid,xgboost,0.738256999477386,0.4347260753111957,0.6938602076784632
0,hybrid,hybrid,randomforest,0.7242459860774517,0.43584379084772207,0.5706411668553503
0,hybrid,stratified,maxent,0.6762167023329424,0.37250486452048504,0.6430147681773087
0,hybrid,stratified,xgboost,0.7184197549220736,0.4239960737328786,0.6938602076784632
0,hybrid,stratified,randomforest,0.7015935301977112,0.41149918791362,0.5706411668553503
1,random,uniform,maxent,0.6950612939416285,0.3942183089480415,0.5522694398683743
1,random,uniform,xgboost,0.705225517799444,0.4044851609561575,0.5910059742437355
1,random,uniform,randomforest,0.7107885402614206,0.4179052879994633,0.7359234736541278
1,random,tgb,maxent,0.6946271837539265,0.38893587701453997,0.5476279626547427
1,random,tgb,xgboost,0.7115995417888488,0.41168896493409673,0.5910059742437355
1,random,tgb,randomforest,0.712595951026797,0.4252400542228864,0.7359234736541278
1,random,hybrid,maxent,0.6903224989933163,0.38663477628441334,0.5480678470124245
1,random,hybrid,xgboost,0.7132200798585399,0.4188631238099291,0.5910059742437355
1,random,hybrid,randomforest,0.7216981845710979,0.44672128331071803,0.7359234736541278
1,random,stratified,maxent,0.7130378714778491,0.4251462790692592,0.5872767040476148
1,random,stratified,xgboost,0.7199584207150672,0.41453220732526735,0.5842235653417115
1,random,stratified,randomforest,0.7167431936635291,0.43399647565626925,0.6805753908263072
1,tgb,uniform,maxent,0.6996404605052307,0.4053740692867137,0.6294659472224984
1,tgb,uniform,xgboost,0.7217730215788659,0.4434110200425942,0.6018960025021942
1,tgb,uniform,randomforest,0.7199821892526289,0.44599614570812146,0.7393670879874727
1,tgb,tgb,maxent,0.7016917913938961,0.41329320629625554,0.6262994669725341
1,tgb,tgb,xgboost,0.7227735230629455,0.4423857189440956,0.6018960025021942
1,tgb,tgb,randomforest,0.7204136925806541,0.4370375833836794,0.7396279525884916
1,tgb,hybrid,maxent,0.7013804210195935,0.40060573751217865,0.621871290410625
1,tgb,hybrid,xgboost,0.7281318838641395,0.4454464400176087,0.6018960025021942
1,tgb,hybrid,randomforest,0.7302329046150338,0.44599500170969186,0.7393670879874727
1,tgb,stratified,maxent,0.7170196903654371,0.4373747503129318,0.6806896506258948
