seed,block,train_design,algorithm,auc,tss,boyce
0,~40km,random,maxent,0.6748566763478451,0.3552900082901242,0.5806939705766208
0,~40km,random,xgboost,0.7078558285988696,0.41245457202733127,0.44747848314969235
0,~40km,random,randomforest,0.7062610654463127,0.39205328119328814,0.5502491502267363
0,~40km,tgb,maxent,0.7019367932329637,0.40031088378290774,0.5527507917074528
0,~40km,tgb,xgboost,0.7177594942782761,0.429866184464976,0.46709333554316307
0,~40km,tgb,randomforest,0.7171556281969513,0.4229846786936977,0.6756852656821678
0,~40km,hybrid,maxent,0.6725052420742832,0.3222489031858008,0.6153741760297555
0,~40km,hybrid,xgboost,0.7309821464720613,0.44543385728924817,0.5791859632898582
0,~40km,hybrid,randomforest,0.7040085701223685,0.41829861579953664,0.5920430252426219
0,~50km,random,maxent,0.6761197814914761,0.3601114652669192,0.625609147440965
0,~50km,random,xgboost,0.7004247359970579,0.40194554660815446,0.5679712798120712
0,~50km,random,randomforest,0.7005424403889507,0.40002309697455124,0.6900558312487787
0,~50km,tgb,maxent,0.6686923890116425,0.3374901035868816,0.5073045058335889
0,~50km,tgb,xgboost,0.7240039827738842,0.43619305652938667,0.5105887164172577
0,~50km,tgb,randomforest,0.7191797478542403,0.42453440491560357,0.6815041857052859
0,~50km,hybrid,maxent,0.6575486738910216,0.3393931203323113,0.6258069664265201
0,~50km,hybrid,xgboost,0.7050133342160757,0.4086394665621091,0.6424048476410603
0,~50km,hybrid,randomforest,0.6995042606937493,0.42594167175871034,0.5481756448404806
0,~60km,random,maxent,0.664635777184349,0.3506325185339057,0.49291191669034085
0,~60km,random,xgboost,0.7024670571555789,0.42729481017373017,0.3647923897294699
0,~60km,random,randomforest,0.7053197800129263,0.4096509776101528,0.5705808538302324
0,~60km,tgb,maxent,0.6978528655397159,0.3831029731711227,0.5329092973027044
0,~60km,tgb,xgboost,0.7074051421139418,0.4044590973019299,0.3853807649809265
0,~60km,tgb,randomforest,0.7073923601903017,0.43534191970098207,0.5647750160939669
