seed,train_design,auc_own,auc_common
0,random,0.7073307035199985,0.693455545154159
0,tgb,0.7140733615590056,0.7034772346643356
0,hybrid,0.7451975933071184,0.7085575546799295
1,random,0.7057687213252051,0.6960769090862937
1,tgb,0.721945323022967,0.7079741354907338
1,hybrid,0.7560515680695932,0.6992986754186113
2,random,0.7238910087207385,0.724765060882755
2,tgb,0.7207581832336335,0.72756339167533
2,hybrid,0.7764753050894772,0.702729083857676
3,random,0.7271781568002217,0.7232996992604882
3,tgb,0.719223479390855,0.7002614403331433
3,hybrid,0.7504810352494898,0.7039338485859615
4,random,0.6887959166768507,0.6885171576829968
4,tgb,0.7104378106377179,0.7089097124375174
4,hybrid,0.7588714919051593,0.704563922256379
