algorithm,design,road_quintile,median_road_m,mean_rank_shift
xgboost,tgb,1,30.663793563842773,-0.0026331856104281647
xgboost,tgb,2,68.56632995605469,-0.0032926929575481604
xgboost,tgb,3,156.35528564453125,-0.0017259384321938929
xgboost,tgb,4,386.04296875,-0.0012074518411879923
xgboost,tgb,5,1732.9791259765625,0.008863163654239115
xgboost,hybrid,1,30.663793563842773,-0.019351816835651993
xgboost,hybrid,2,68.56632995605469,-0.01821245294018865
xgboost,hybrid,3,156.35528564453125,-0.023318265315605356
xgboost,hybrid,4,386.04296875,-0.014987279253596204
xgboost,hybrid,5,1732.9791259765625,0.07627272847840741
randomforest,tgb,1,30.663793563842773,-0.0029353026944389823
randomforest,tgb,2,68.56632995605469,-0.003555966623481632
randomforest,tgb,3,156.35528564453125,-0.0016446149488274404
randomforest,tgb,4,386.04296875,-0.0011451578845254955
randomforest,tgb,5,1732.9791259765625,0.009295574446905926
randomforest,hybrid,1,30.663793563842773,-0.020940171426793035
randomforest,hybrid,2,68.56632995605469,-0.01699507445870753
randomforest,hybrid,3,156.35528564453125,-0.018857062897366137
randomforest,hybrid,4,386.04296875,-0.009107753364872387
randomforest,hybrid,5,1732.9791259765625,0.06663136216500784
maxent,tgb,1,30.663793563842773,-0.00374905435821259
maxent,tgb,2,68.56632995605469,-0.0031591145741268357
maxent,tgb,3,156.35528564453125,-0.003946253456996502
maxent,tgb,4,386.04296875,-0.003182084684433305
maxent,tgb,5,1732.9791259765625,0.01412969126476519
maxent,hybrid,1,30.663793563842773,-0.025271677650743084
maxent,hybrid,2,68.56632995605469,-0.023801769437149074
maxent,hybrid,3,156.35528564453125,-0.03306604370372429
maxent,hybrid,4,386.04296875,-0.018368290148018326
maxent,hybrid,5,1732.9791259765625,0.10108085158053404
