algorithm,comparison,pair,seed_i,seed_j,spearman,jaccard_top10
xgboost,within_design,random|random,0,1,0.9285611030480265,0.5695598255837212
xgboost,within_design,random|random,0,2,0.9286249278482501,0.5612117675146563
xgboost,within_design,random|random,0,3,0.9333316241135858,0.5937229202772963
xgboost,within_design,random|random,0,4,0.9271228292835686,0.5533414273648649
xgboost,within_design,random|random,1,2,0.9321206821822616,0.5589372748463658
xgboost,within_design,random|random,1,3,0.927084559818459,0.5698947677287701
xgboost,within_design,random|random,1,4,0.9354240384771715,0.5655516392897519
xgboost,within_design,random|random,2,3,0.9306200476334642,0.5771096283195326
xgboost,within_design,random|random,2,4,0.9286040216151398,0.5391636373146429
xgboost,within_design,random|random,3,4,0.9300653314394933,0.555599608807126
xgboost,within_design,tgb|tgb,0,1,0.9229690495439534,0.5356495192370416
xgboost,within_design,tgb|tgb,0,2,0.9253347574476612,0.5416230092204526
xgboost,within_design,tgb|tgb,0,3,0.9212680421161475,0.5500684787189212
xgboost,within_design,tgb|tgb,0,4,0.9186108658164064,0.5662599300075847
xgboost,within_design,tgb|tgb,1,2,0.922209922777806,0.5018117791160559
xgboost,within_design,tgb|tgb,1,3,0.924684830905424,0.5290465055858664
xgboost,within_design,tgb|tgb,1,4,0.9259812540538356,0.5280540049331429
xgboost,within_design,tgb|tgb,2,3,0.9285200405584456,0.5559903234761457
xgboost,within_design,tgb|tgb,2,4,0.9277833487154631,0.5577200481717243
xgboost,within_design,tgb|tgb,3,4,0.9296943426965971,0.5445968112328587
xgboost,within_design,hybrid|hybrid,0,1,0.9380090406637623,0.5526857323765302
xgboost,within_design,hybrid|hybrid,0,2,0.9417712327809501,0.5398281027197447
xgboost,within_design,hybrid|hybrid,0,3,0.9428274279004003,0.5519691995306093
xgboost,within_design,hybrid|hybrid,0,4,0.9367202505172709,0.5212210504549214
xgboost,within_design,hybrid|hybrid,1,2,0.93930347415844,0.5471956044533828
xgboost,within_design,hybrid|hybrid,1,3,0.9435359912736708,0.5691413488328689
xgboost,within_design,hybrid|hybrid,1,4,0.9362964647431948,0.5349085882690452
xgboost,within_design,hybrid|hybrid,2,3,0.9408467753748609,0.5354091389363561
xgboost,within_design,hybrid|hybrid,2,4,0.9382369902343165,0.5174165270078639
xgboost,within_design,hybrid|hybrid,3,4,0.9395093136094489,0.5426938754112112
xgboost,between_design,random|tgb,0,0,0.9281012138384548,0.573252068380181
xgboost,between_design,random|tgb,1,1,0.931464888592597,0.5372941345488265
xgboost,between_design,random|tgb,2,2,0.9243451969969247,0.548559400078937
xgboost,between_design,random|tgb,3,3,0.9324944745647319,0.5625174231060254
xgboost,between_design,random|tgb,4,4,0.9288646674911878,0.5295233640002079
xgboost,between_design,random|hybrid,0,0,0.8292028657213526,0.46672315609774334
xgboost,between_design,random|hybrid,1,1,0.8504660331934413,0.47101240986290416
xgboost,between_design,random|hybrid,2,2,0.8408342768692003,0.45717221486314175
xgboost,between_design,random|hybrid,3,3,0.8319554507534466,0.4597202242174711
xgboost,between_design,random|hybrid,4,4,0.8477440653889975,0.44145092948639447
xgboost,between_design,tgb|hybrid,0,0,0.8497346651599321,0.47682617751122935
xgboost,between_design,tgb|hybrid,1,1,0.8463026352102314,0.4307628725628434
xgboost,between_design,tgb|hybrid,2,2,0.8415444841369547,0.4472642321406615
xgboost,between_design,tgb|hybrid,3,3,0.8478820233797416,0.4639321426794687
xgboost,between_design,tgb|hybrid,4,4,0.848376242620473,0.4528197089571582
randomforest,within_design,random|random,0,1,0.9687410791272116,0.7590375849958904
randomforest,within_design,random|random,0,2,0.9663285231733535,0.7203197848613729
randomforest,within_design,random|random,0,3,0.9813475844194586,0.8343125185058206
randomforest,within_design,random|random,0,4,0.9650089348050462,0.7261475289631911
randomforest,within_design,random|random,1,2,0.9750105235183543,0.6779426648990007
randomforest,within_design,random|random,1,3,0.9659707255848701,0.7391291499830085
randomforest,within_design,random|random,1,4,0.9717793464048426,0.6948552174977322
randomforest,within_design,random|random,2,3,0.9677465562927507,0.7043279324674573
randomforest,within_design,random|random,2,4,0.9757934927704116,0.61913146347167
randomforest,within_design,random|random,3,4,0.9703682383397525,0.7227621333645571
randomforest,within_design,tgb|tgb,0,1,0.975529381943723,0.7691371199254505
randomforest,within_design,tgb|tgb,0,2,0.9741057113110674,0.7692168946339997
randomforest,within_design,tgb|tgb,0,3,0.9722711247713809,0.7473909235314202
randomforest,within_design,tgb|tgb,0,4,0.9782739945540597,0.744464534487358
randomforest,within_design,tgb|tgb,1,2,0.9749859365982155,0.7220816081695952
randomforest,within_design,tgb|tgb,1,3,0.9686785705347747,0.7090792931712913
randomforest,within_design,tgb|tgb,1,4,0.9785867699077221,0.6849564109538057
randomforest,within_design,tgb|tgb,2,3,0.9682424188503153,0.7390006796087817
randomforest,within_design,tgb|tgb,2,4,0.9695322616834703,0.7564913746791619
randomforest,within_design,tgb|tgb,3,4,0.9675754512931206,0.7264260256090586
randomforest,within_design,hybrid|hybrid,0,1,0.9839389963028298,0.6901825074309674
randomforest,within_design,hybrid|hybrid,0,2,0.9753430762257795,0.5766871165644172
randomforest,within_design,hybrid|hybrid,0,3,0.9832621046676131,0.72947001866028
randomforest,within_design,hybrid|hybrid,0,4,0.9812486199665619,0.6346012304017553
randomforest,within_design,hybrid|hybrid,1,2,0.9709179605443626,0.5389020356400434
randomforest,within_design,hybrid|hybrid,1,3,0.9796775529768516,0.6561981145349656
randomforest,within_design,hybrid|hybrid,1,4,0.9797187985697879,0.6375803444725785
randomforest,within_design,hybrid|hybrid,2,3,0.9781667936567443,0.5814534657190074
randomforest,within_design,hybrid|hybrid,2,4,0.97134866064456,0.517220933230214
randomforest,within_design,hybrid|hybrid,3,4,0.9785334457867267,0.5754209385121931
randomforest,between_design,random|tgb,0,0,0.9736542784094654,0.8059715232600957
randomforest,between_design,random|tgb,1,1,0.9782661053095055,0.6948308135349172
randomforest,between_design,random|tgb,2,2,0.9731941711635855,0.7327543059031356
randomforest,between_design,random|tgb,3,3,0.98197986580212,0.7556530039973749
randomforest,between_design,random|tgb,4,4,0.968159218000127,0.6659967162996093
randomforest,between_design,random|hybrid,0,0,0.9019988593024703,0.6929294672649867
randomforest,between_design,random|hybrid,1,1,0.9155257697405115,0.6483587273134663
randomforest,between_design,random|hybrid,2,2,0.8804257441273976,0.5199442155963895
randomforest,between_design,random|hybrid,3,3,0.881337596264057,0.650508308210054
randomforest,between_design,random|hybrid,4,4,0.9109626455787406,0.6106458675424192
randomforest,between_design,tgb|hybrid,0,0,0.9138291562102319,0.6577842877665417
randomforest,between_design,tgb|hybrid,1,1,0.9278459941178638,0.5670523078561633
randomforest,between_design,tgb|hybrid,2,2,0.8793234532576335,0.5080459181058782
randomforest,between_design,tgb|hybrid,3,3,0.8939736970517976,0.6749341871220206
randomforest,between_design,tgb|hybrid,4,4,0.9151479796386974,0.5839220593974136
maxent,within_design,random|random,0,1,0.9533579301050579,0.6763654489781386
maxent,within_design,random|random,0,2,0.9526659494528491,0.6811540384203385
maxent,within_design,random|random,0,3,0.9466109747032366,0.6528027409570883
maxent,within_design,random|random,0,4,0.950465439508062,0.6755541004142408
maxent,within_design,random|random,1,2,0.9602329637350742,0.7273380978236943
maxent,within_design,random|random,1,3,0.939664274259313,0.644995388098499
maxent,within_design,random|random,1,4,0.9231256057113946,0.6347828502381911
maxent,within_design,random|random,2,3,0.9485732568325018,0.6466753403002197
maxent,within_design,random|random,2,4,0.933183286386255,0.6452023202180446
maxent,within_design,random|random,3,4,0.9420191554198323,0.6594670802199352
maxent,within_design,tgb|tgb,0,1,0.9380826885717699,0.6979112572846344
maxent,within_design,tgb|tgb,0,2,0.9547580397303758,0.7004377284350125
maxent,within_design,tgb|tgb,0,3,0.9312484278495741,0.6297352680549402
