seed,train_design,algorithm,width_frac,n_windows,boyce
0,random,maxent,0.05,51,0.9074865949516033
0,random,maxent,0.05,101,0.922923255247192
0,random,maxent,0.05,201,0.9263057406565358
0,random,maxent,0.1,51,0.9686877828054298
0,random,maxent,0.1,101,0.9687418098114784
0,random,maxent,0.1,201,0.967489523572626
0,random,maxent,0.2,51,0.9892307692307692
0,random,maxent,0.2,101,0.9890710223426397
0,random,maxent,0.2,201,0.9890531052423872
0,random,xgboost,0.05,51,0.8945653658645165
0,random,xgboost,0.05,101,0.8858906010107519
0,random,xgboost,0.05,201,0.8815287464027199
0,random,xgboost,0.1,51,0.9248868778280543
0,random,xgboost,0.1,101,0.9246234668474317
0,random,xgboost,0.1,201,0.919886300273699
0,random,xgboost,0.2,51,0.9342745313371106
0,random,xgboost,0.2,101,0.9314466929303575
0,random,xgboost,0.2,201,0.9283064595224899
0,random,randomforest,0.05,51,0.5473274769519048
0,random,randomforest,0.05,101,0.6124344880465549
0,random,randomforest,0.05,201,0.6566756831646775
0,random,randomforest,0.1,51,0.7974388562868165
0,random,randomforest,0.1,101,0.8733615807795437
0,random,randomforest,0.1,201,0.9055731884280249
0,random,randomforest,0.2,51,0.9910407239819004
0,random,randomforest,0.2,101,0.9924752475247524
0,random,randomforest,0.2,201,0.992944797855787
0,tgb,maxent,0.05,51,0.9249773755656109
0,tgb,maxent,0.05,101,0.9301762122884423
0,tgb,maxent,0.05,201,0.9304885735302971
0,tgb,maxent,0.1,51,0.9684162895927602
0,tgb,maxent,0.1,101,0.9700287715133504
0,tgb,maxent,0.1,201,0.9724539350748661
0,tgb,maxent,0.2,51,0.9951131221719457
0,tgb,maxent,0.2,101,0.9950611531741409
0,tgb,maxent,0.2,201,0.9951388950505855
0,tgb,xgboost,0.05,51,0.8966718706338056
0,tgb,xgboost,0.05,101,0.9002868417792093
0,tgb,xgboost,0.05,201,0.8991537869757681
0,tgb,xgboost,0.1,51,0.9766736806499828
0,tgb,xgboost,0.1,101,0.9756898741474285
0,tgb,xgboost,0.1,201,0.9759184146686709
0,tgb,xgboost,0.2,51,0.9893212669683258
0,tgb,xgboost,0.2,101,0.9882525613487776
0,tgb,xgboost,0.2,201,0.9887936172709059
0,tgb,randomforest,0.05,51,0.5131349733031739
0,tgb,randomforest,0.05,101,0.5872331273086827
0,tgb,randomforest,0.05,201,0.5911336292292402
0,tgb,randomforest,0.1,51,0.8612864546651119
0,tgb,randomforest,0.1,101,0.8827217477484297
0,tgb,randomforest,0.1,201,0.8873854270247754
