seed,algorithm,pick_own,pick_common_ins,pick_boyce,auc_common_at_pick_own,auc_common_at_pick_common_ins,auc_common_at_pick_boyce,auc_common_min,auc_common_max
0,maxent,0.9,0.0,0.3,0.6061396752211754,0.667837228787185,0.6428467854676007,0.5426615994228116,0.667837228787185
0,randomforest,1.0,0.3,0.2,0.6352765725055278,0.7090448805229737,0.7080014014700995,0.6352765725055278,0.7090448805229737
0,xgboost,1.0,0.3,0.6,0.6163133246919588,0.7282330652798528,0.6908365114783815,0.6163133246919588,0.7282330652798528
1,maxent,1.0,0.3,0.1,0.5617503278618934,0.6733245865178616,0.6613783879181049,0.5617503278618934,0.6733245865178616
1,randomforest,1.0,0.2,0.2,0.6369153243454415,0.7131900011099137,0.7131900011099137,0.6369153243454415,0.7131900011099137
1,xgboost,1.0,0.2,0.5,0.6283641589290125,0.7280050872964754,0.7111999176230357,0.6283641589290125,0.7280050872964754
2,maxent,1.0,0.0,0.3,0.5557620476799221,0.6838797052654007,0.6808477274612414,0.5557620476799221,0.6838797052654007
2,randomforest,1.0,0.0,0.2,0.6462509944887345,0.7241007515876877,0.7239304573210569,0.6462509944887345,0.7241007515876877
2,xgboost,1.0,0.2,0.4,0.6320828811610085,0.7382018667441932,0.7073286077782173,0.6320828811610085,0.7382018667441932
3,maxent,1.0,0.0,0.1,0.5424205931036183,0.6681818208915906,0.6616637404828968,0.5424205931036183,0.6681818208915906
3,randomforest,1.0,0.1,0.5,0.6235418552496969,0.7003358583934798,0.6891208454163398,0.6235418552496969,0.7003358583934798
3,xgboost,1.0,0.0,0.3,0.6019756933944045,0.7152608121725026,0.6928299131509646,0.6019756933944045,0.7152608121725026
4,maxent,0.9,0.0,0.5,0.6128535530691062,0.6860169388631675,0.6699920499231312,0.5527719981911836,0.6860169388631675
4,randomforest,1.0,0.0,0.4,0.6344027206545174,0.72216278055609,0.7073475668365511,0.6344027206545174,0.72216278055609
4,xgboost,1.0,0.0,0.5,0.6158250904008679,0.7228701980238046,0.6925237788365219,0.6158250904008679,0.7228701980238046
5,maxent,1.0,0.1,0.3,0.557640559458451,0.6447771500202328,0.6440457759353242,0.557640559458451,0.6447771500202328
5,randomforest,1.0,0.4,0.3,0.6290049764184824,0.6909747571532507,0.6894200915576927,0.6290049764184824,0.6909747571532507
5,xgboost,1.0,0.2,0.5,0.6123613506476989,0.7009132829772724,0.6766897392240726,0.6123613506476989,0.7009132829772724
6,maxent,1.0,0.2,0.4,0.553896335564952,0.6598673169441328,0.6543027843452919,0.553896335564952,0.6598673169441328
6,randomforest,1.0,0.1,0.5,0.6480888485504465,0.7144025996688457,0.7085103575848762,0.6480888485504465,0.7144025996688457
6,xgboost,1.0,0.1,0.8,0.6283776119653187,0.7311862922306014,0.6760808681172443,0.6283776119653187,0.7311862922306014
7,maxent,1.0,0.2,0.5,0.569278952850452,0.6790021748083532,0.6670939373503678,0.569278952850452,0.6790021748083532
7,randomforest,1.0,0.2,0.6,0.6439365684551861,0.7229260199103325,0.6992518312314999,0.6439365684551861,0.7229260199103325
7,xgboost,1.0,0.2,0.6,0.63283185497033,0.7273399028668988,0.7178031164724169,0.63283185497033,0.7273399028668988
8,maxent,1.0,0.4,0.4,0.5438788155658525,0.6633947603703916,0.6633947603703916,0.5438788155658525,0.6633947603703916
8,randomforest,1.0,0.1,0.4,0.626377510135856,0.7081697769094648,0.6999315502227155,0.626377510135856,0.7081697769094648
8,xgboost,1.0,0.1,0.6,0.6105852684989649,0.7145712768580301,0.6760649261381563,0.6105852684989649,0.7145712768580301
9,maxent,1.0,0.2,0.5,0.544333347390521,0.6661606182495474,0.6553624785634702,0.544333347390521,0.6661606182495474
9,randomforest,1.0,0.3,0.6,0.6233553932436429,0.7127033935393877,0.680044761024166,0.6233553932436429,0.7127033935393877
9,xgboost,1.0,0.1,0.5,0.6146044350133819,0.7266161773213256,0.703799923887394,0.6146044350133819,0.7266161773213256
10,maxent,1.0,0.1,0.1,0.5430686242587168,0.6558555692000864,0.6558555692000864,0.5430686242587168,0.6558555692000864
