contrast,n_pairs,median_diff,mean_diff,frac_positive,wilcoxon_stat,p_value
E218A hybrid-random AUC | maxent | eval=hybrid,20,0.0068679580855410816,0.006612334776850781,0.7,40.0,0.013616561889648438
E218A hybrid-random AUC | maxent | eval=stratified,20,-0.033531738130716415,-0.032142946786287444,0.0,0.0,1.9073486328125e-06
E218A hybrid-random AUC | maxent | eval=tgb,20,-0.027113299391919754,-0.026533222765814046,0.0,0.0,1.9073486328125e-06
E218A hybrid-random AUC | maxent | eval=uniform,20,-0.03135340941227205,-0.03341883779280311,0.0,0.0,1.9073486328125e-06
E218A hybrid-random AUC | randomforest | eval=hybrid,20,0.007363183192521494,0.009791914242548072,0.9,6.0,2.6702880859375e-05
E218A hybrid-random AUC | randomforest | eval=stratified,20,-0.0067872681927644285,-0.005646621831777815,0.2,27.0,0.0023250579833984375
E218A hybrid-random AUC | randomforest | eval=tgb,20,-0.008796238230840248,-0.00708426372487615,0.3,24.0,0.0014324188232421875
E218A hybrid-random AUC | randomforest | eval=uniform,20,-0.010885935916175038,-0.009351760541360343,0.2,17.0,0.0003948211669921875
E218A hybrid-random AUC | xgboost | eval=hybrid,20,0.013718915432857415,0.01545563303116646,0.95,4.0,1.33514404296875e-05
E218A hybrid-random AUC | xgboost | eval=stratified,20,-0.005275936824877481,-0.0041383957633940645,0.35,56.0,0.069580078125
E218A hybrid-random AUC | xgboost | eval=tgb,20,-0.0028979241432029457,-0.0036717198343755586,0.4,70.0,0.20244979858398438
E218A hybrid-random AUC | xgboost | eval=uniform,20,-0.00836295398231307,-0.008501247119554323,0.2,25.0,0.001689910888671875
E220 auc_common hard_frac 1.0 - 0.0 | maxent,20,-0.11159103777842017,-0.1120275429065913,0.0,0.0,1.9073486328125e-06
E220 auc_common hard_frac 0.3 - 0.0 (E013's pick) | maxent,20,-0.004558953390318976,-0.0026083374169953875,0.35,76.0,0.2942523956298828
E220 auc_common hard_frac 1.0 - 0.0 | xgboost,20,-0.0966908815268373,-0.09626600814628779,0.0,0.0,1.9073486328125e-06
E220 auc_common hard_frac 0.3 - 0.0 (E013's pick) | xgboost,20,-0.009243154554770872,-0.005490941539834415,0.4,56.0,0.069580078125
E220 auc_common hard_frac 1.0 - 0.0 | randomforest,20,-0.07291769870387949,-0.0721857121141385,0.0,0.0,1.9073486328125e-06
E220 auc_common hard_frac 0.3 - 0.0 (E013's pick) | randomforest,20,-0.0028541189512774068,-0.002081780742726935,0.35,69.0,0.1893482208251953
E220 selection cost per seed (auc_common best - at R-own pick),60,0.10115508411579438,0.09760566118512629,1.0,0.0,1.6295557943119345e-11
E217b feature gain terrain_river - terrain (common eval),60,0.03941743718191126,0.042355025149568556,1.0,0.0,1.6295557943119345e-11
E217b own-background inflation (hybrid-vs-random_nobuffer),15,0.043859831935928906,0.04582872097841708,1.0,0.0,6.103515625e-05
