algorithm,set,n_cells,area_km2,frame_share,known_sites_inside,sites_per_1000km2,road_dist_median_m,elevation_median_m,volc_km_median,dist_to_site_median_m
xgboost,robust,44069,4143.668138063753,0.07487914907354702,169,40.785119456735764,68.56632995605469,60.418399810791016,28.30447402438571,9232.2401330718
xgboost,contingent,16964,1595.0710543491684,0.02882411411385899,15,9.403969784982651,221.11976623535156,491.4769287109375,18.108576017472405,8953.141411793782
xgboost,rest,527502,49599.33808720202,0.896296736812594,194,3.9113425195094953,165.12957763671875,123.43409729003906,37.224780195323966,12614.074106469981
xgboost,contingent_random,3638,342.0695882882737,0.0061814505509442935,4,11.693527097851984,61.32758712768555,52.46989822387695,34.01814553703461,10104.710894477714
xgboost,contingent_tgb,3233,303.9887242814703,0.0054933011630574225,4,13.158382796778692,86.73030853271484,123.20855712890625,28.285152936991132,9709.654260537394
xgboost,contingent_hybrid,10093,949.0127417794246,0.017149362399857274,7,7.376086423112518,1073.6707763671875,1257.933837890625,11.002810897271189,8544.41989314678
randomforest,robust,48781,4586.722536088587,0.08288546985310984,141,30.740904619933772,61.32758712768555,64.89759063720703,30.69910437308018,8925.00760194721
randomforest,contingent,10036,943.6532127710597,0.017052511745265786,15,15.895669931491199,176.12985229492188,433.5582275390625,19.079708264108824,8635.248972102425
randomforest,rest,529718,49807.701530755294,0.9000620184016244,222,4.457142031798422,173.4606170654297,128.81246948242188,37.13222426533656,12650.365195620345
randomforest,contingent_random,1209,113.67843107216133,0.0020542533579141426,2,17.593487006611046,61.32758712768555,58.829261779785156,33.58768421567572,8290.525645499387
randomforest,contingent_tgb,1760,165.48721148635562,0.002990476352298504,2,12.08552601760952,156.35528564453125,926.414306640625,17.810449252598303,8879.258436685577
randomforest,contingent_hybrid,7067,664.4875702125427,0.01200778203505314,11,16.554109501975404,252.86012268066406,497.3260803222656,16.38132416793301,8639.073002065847
maxent,robust,33507,3150.556815496203,0.056932892691173846,100,31.740421092596712,122.6551742553711,533.3773803710938,20.28957236802621,8714.447653312907
maxent,contingent,30116,2831.7118529108443,0.05117112831012599,16,5.6502924135988195,1043.695556640625,1106.9903564453125,11.657352305926858,9432.595969108637
maxent,rest,524912,49355.808611207896,0.8918959789987002,262,5.308392413623714,153.3189697265625,111.59127807617188,38.43252640881626,12670.547813009824
maxent,contingent_random,4485,421.7103088160823,0.007620617295487949,5,11.85648037402049,61.32758712768555,46.9718132019043,34.11561051099677,10009.661831411413
maxent,contingent_tgb,2979,280.1059108055985,0.0050617210531234335,5,17.85039089542863,173.4606170654297,825.7490844726562,17.406070701398306,9048.691709398143
maxent,contingent_hybrid,22652,2129.8956332891635,0.038488789961514606,6,2.8170394390331213,1997.27001953125,1491.970947265625,9.19986691668089,9390.003452864155
