algorithm,design,seed_i,seed_j,jaccard,footprint_single_run_share,replaced_share
xgboost,random,0,1,0.5695598255837212,0.4304401744162788,0.2742426044551679
xgboost,random,0,2,0.5612117675146563,0.4387882324853437,0.28105619084838496
xgboost,random,0,3,0.5937229202772963,0.40627707972270366,0.2549232834349991
xgboost,random,0,4,0.5533414273648649,0.4466585726351351,0.2875469389835692
xgboost,random,0,5,0.58024326719115,0.41975673280884995,0.26562792041187366
xgboost,random,0,6,0.5837728740581271,0.41622712594187294,0.2628073335259035
xgboost,random,0,7,0.5748728926946749,0.4251271073053251,0.2699437581771532
xgboost,random,0,8,0.5699785256025502,0.43002147439744975,0.27390277470987034
xgboost,random,0,9,0.5589166280378783,0.44108337196212166,0.2829422459347866
xgboost,random,1,2,0.5589372748463658,0.4410627251536342,0.28292525444752176
xgboost,random,1,3,0.5698947677287701,0.4301052322712299,0.2739707406589299
xgboost,random,1,4,0.5655516392897519,0.43444836071024806,0.277504970010025
xgboost,random,1,5,0.5576582060715136,0.4423417939284864,0.2839787266579444
xgboost,random,1,6,0.5828783518463732,0.41712164815362685,0.26352097599102847
xgboost,random,1,7,0.5506198211015821,0.44938017889841786,0.28980680678979837
xgboost,random,1,8,0.5649480149972079,0.4350519850027921,0.27799772314070653
xgboost,random,1,9,0.5704812605905349,0.42951873940946506,0.2734949790155132
xgboost,random,2,3,0.5771096283195326,0.4228903716804674,0.26814266052707597
xgboost,random,2,4,0.5391636373146429,0.4608363626853571,0.2994069970944557
xgboost,random,2,5,0.5797342638572004,0.4202657361427996,0.2660357161062308
xgboost,random,2,6,0.5488854383240782,0.4511145616759218,0.29125108320731313
xgboost,random,2,7,0.5863769912935659,0.4136230087064341,0.2607343720795881
xgboost,random,2,8,0.547887379508962,0.45211262049103795,0.2920836660832923
xgboost,random,2,9,0.5781457397600054,0.4218542602399946,0.26731007765109677
xgboost,random,3,4,0.555599608807126,0.444400391192874,0.28567787538443246
xgboost,random,3,5,0.5972046950267996,0.4027953049732004,0.2521876539853533
xgboost,random,3,6,0.5809436825917021,0.41905631740829785,0.2650672013321326
xgboost,random,3,7,0.5676575568696394,0.43234244313036063,0.27578882979627206
xgboost,random,3,8,0.556278344109053,0.44372165589094703,0.2851171563046913
xgboost,random,3,9,0.5687021883412853,0.4312978116587147,0.27493925543302805
xgboost,random,4,5,0.5559903234761457,0.44400967652385426,0.2853550371263997
xgboost,random,4,6,0.5750414815607772,0.42495851843922283,0.2698078262790342
xgboost,random,4,7,0.5428960924903984,0.4571039075096016,0.29626357195045283
xgboost,random,4,8,0.5350286906624935,0.4649713093375065,0.302907243471021
xgboost,random,4,9,0.5508649880759451,0.4491350119240549,0.2896029089426197
xgboost,random,5,6,0.5814322181915894,0.4185677818084106,0.2646763971250404
xgboost,random,5,7,0.5769617234495786,0.42303827655042137,0.2682616009379301
xgboost,random,5,8,0.5459763321381195,0.45402366786188053,0.293680865886191
xgboost,random,5,9,0.582644239172818,0.41735576082718195,0.2637078823509422
xgboost,random,6,7,0.5527881482263235,0.4472118517736765,0.288005709139721
xgboost,random,6,8,0.5512328839336311,0.4487671160663689,0.28929706217185197
xgboost,random,6,9,0.5682841687318464,0.4317158312681536,0.27527908517832567
xgboost,random,7,8,0.5477042023878399,0.4522957976121601,0.2922365894686762
xgboost,random,7,9,0.5673026990319703,0.4326973009680297,0.27607768507977504
