surface,world,config,hard_frac,algorithm,n_observed,auc_own,auc_true,boyce,map_jaccard,spearman_full,spearman_remote
A_observed,0,random,-1.0,maxent,501,0.8537225779023222,0.8294865092478256,0.9111791239966531,0.722924257694395,0.9852651171620684,0.9679274101472943
A_observed,0,random,-1.0,xgboost,501,0.8372940263044782,0.8083973945754497,0.9722327351862026,0.5194650695327563,0.9188886433118887,0.8691785615307316
A_observed,0,random,-1.0,randomforest,501,0.8474474989655227,0.8137755431704983,0.9824729074694037,0.6496926868374951,0.9389328496809995,0.8668336260291639
A_observed,0,tgb,-1.0,maxent,501,0.8509293294523121,0.8302184752986745,0.9254733631004368,0.7011895466862628,0.9855463519195353,0.9564086411136871
A_observed,0,tgb,-1.0,xgboost,501,0.8332421300764095,0.7935965528108734,0.97262479468809,0.5218790659453537,0.914341601544112,0.8751217524337859
A_observed,0,tgb,-1.0,randomforest,501,0.8451574322024069,0.8157822257366675,0.9931803844822051,0.6212667240549177,0.9384703726920134,0.8603385612349145
A_observed,0,hybrid,0.0,maxent,501,0.753233524655232,0.4589330021045477,0.9829468020096315,0.0,-0.4536318395023168,-0.7477141801186783
A_observed,0,hybrid,0.0,xgboost,501,0.7176809131354366,0.5006519696834072,0.8530832607340536,0.004737965206698253,-0.3423602749108751,-0.7664889481552923
A_observed,0,hybrid,0.0,randomforest,501,0.7490961630663285,0.5104256044959871,0.6374652114982989,0.0,-0.2629483894607499,-0.6846611405853221
A_observed,0,hybrid,0.3,maxent,501,0.7897839185783337,0.45668411580871693,0.986916018523554,0.0,-0.4438826261416775,-0.7475810589777561
A_observed,0,hybrid,0.3,xgboost,501,0.7587373447682036,0.5051322533133338,0.9175525610627674,0.0003420896274824004,-0.32828205233882396,-0.7623695466566573
A_observed,0,hybrid,0.3,randomforest,501,0.7814952914233115,0.5171061801891443,0.72073117381185,0.0,-0.2585238233097852,-0.6778232331308683
A_observed,0,hybrid,0.7,maxent,501,0.8464806341446593,0.4661977957615364,0.8694277161651701,0.0,-0.4159342882441808,-0.7443563144742289
A_observed,0,hybrid,0.7,xgboost,501,0.8154202406637273,0.5393155769813657,0.9557909964323179,0.0016676432144949746,-0.27267319217954633,-0.780610828132133
A_observed,0,hybrid,0.7,randomforest,501,0.8333242388255744,0.5310137246229901,0.7456595494266942,0.0,-0.24584314287316777,-0.7050913531719891
A_observed,0,hybrid,1.0,maxent,501,0.8857954169685984,0.5408388285468558,0.6279161974826911,0.04044943820224719,-0.15889554585401566,-0.6392035515735317
A_observed,0,hybrid,1.0,xgboost,501,0.8821293678985269,0.5979542664482768,0.829865996417291,0.16947493606407274,-0.0204789881093074,-0.6811994447462517
A_observed,0,hybrid,1.0,randomforest,501,0.8870266665509282,0.558216272833573,0.8336682475103556,0.0,-0.1889209179942259,-0.7140888615471447
A_observed,1,random,-1.0,maxent,498,0.8568345460854407,0.8504400197796065,0.9870150292895226,0.873830120908585,0.9933312228629666,0.9731869939102996
A_observed,1,random,-1.0,xgboost,498,0.8314413605999411,0.8389891133253528,0.9702237130194797,0.62297165057619,0.9513018800383422,0.9041792604949673
A_observed,1,random,-1.0,randomforest,498,0.8454842934435112,0.8437036364432691,0.9971999188773548,0.7270480719914207,0.9485533729938231,0.8611656543973454
A_observed,1,tgb,-1.0,maxent,498,0.8509113024898433,0.8486813538516543,0.9883980992338399,0.7763000143868791,0.988928780614019,0.9689843983112557
A_observed,1,tgb,-1.0,xgboost,498,0.8291717850016591,0.8383533756982354,0.9787491860867954,0.5482792253030514,0.9527402353164063,0.9194738157059562
