replicate,design,algorithm,n_oob,auc
0,random,maxent,61,0.6208951340098882
0,random,xgboost,61,0.6452164107901812
0,random,randomforest,61,0.6682279469164715
0,tgb,maxent,61,0.617468991239483
0,tgb,xgboost,61,0.6479139561106774
0,tgb,randomforest,61,0.6742995923323792
0,hybrid,maxent,61,0.6011362650706913
0,hybrid,xgboost,61,0.6248330297510626
0,hybrid,randomforest,61,0.6601266371758174
1,random,maxent,232,0.6051860974274766
1,random,xgboost,232,0.6073868819558476
1,random,randomforest,232,0.6014094143404488
1,tgb,maxent,232,0.6089719029374201
1,tgb,xgboost,232,0.6371921182266009
1,tgb,randomforest,232,0.6080961503375297
1,hybrid,maxent,232,0.5964126071884692
1,hybrid,xgboost,232,0.6314039408866995
1,hybrid,randomforest,232,0.608542008757526
2,random,maxent,235,0.6426747720364742
2,random,xgboost,235,0.6321175278622087
2,random,randomforest,235,0.6015782956208489
2,tgb,maxent,235,0.6162332545311269
2,tgb,xgboost,235,0.6364539007092198
2,tgb,randomforest,235,0.5958437464820444
2,hybrid,maxent,235,0.6400720477316222
2,hybrid,xgboost,235,0.6407384892491275
2,hybrid,randomforest,235,0.6211291230440167
4,random,maxent,150,0.6392380952380954
4,random,xgboost,150,0.6637460317460316
4,random,randomforest,150,0.6675238095238095
4,tgb,maxent,150,0.6508747795414461
4,tgb,xgboost,150,0.6625502645502646
4,tgb,randomforest,150,0.6657019400352734
4,hybrid,maxent,150,0.637015873015873
4,hybrid,xgboost,150,0.6549100529100529
4,hybrid,randomforest,150,0.6507689594356261
5,random,maxent,71,0.6242044861763172
5,random,xgboost,71,0.6389596840301066
5,random,randomforest,71,0.6720918101199791
5,tgb,maxent,71,0.6413220061107386
5,tgb,xgboost,71,0.6263357925329757
5,tgb,randomforest,71,0.6675162083612789
5,hybrid,maxent,71,0.616126387957374
5,hybrid,xgboost,71,0.650085699381474
5,hybrid,randomforest,71,0.6857888069155675
6,random,maxent,232,0.6037607188469257
6,random,xgboost,232,0.6454365079365079
6,random,randomforest,232,0.6055122240467068
6,tgb,maxent,232,0.6492565225323846
6,tgb,xgboost,232,0.6493694125159643
6,tgb,randomforest,232,0.6146437693851486
6,hybrid,maxent,232,0.6046068235723409
6,hybrid,xgboost,232,0.6401340996168582
6,hybrid,randomforest,232,0.616370187921912
7,random,maxent,120,0.5411816578483245
7,random,xgboost,120,0.6393518518518518
7,random,randomforest,120,0.6673015873015873
7,tgb,maxent,120,0.5436331569664904
7,tgb,xgboost,120,0.6611463844797179
7,tgb,randomforest,120,0.6789462081128749
7,hybrid,maxent,120,0.5473456790123457
7,hybrid,xgboost,120,0.6463227513227514
7,hybrid,randomforest,120,0.6552513227513227
8,random,maxent,105,0.6840413202317964
8,random,xgboost,105,0.6653111615016377
8,random,randomforest,105,0.6928798185941043
8,tgb,maxent,105,0.6680725623582767
8,tgb,xgboost,105,0.6683799445704207
8,tgb,randomforest,105,0.6884152179390274
8,hybrid,maxent,105,0.6299470899470899
8,hybrid,xgboost,105,0.6554195011337869
8,hybrid,randomforest,105,0.6779541446208114
9,random,maxent,237,0.6339160136628491
9,random,xgboost,237,0.6510425736164133
9,random,randomforest,237,0.6118790882503962
9,tgb,maxent,237,0.6256959792824771
9,tgb,xgboost,237,0.6430669970754359
9,tgb,randomforest,237,0.6198435023329538
9,hybrid,maxent,237,0.6279932132252808
9,hybrid,xgboost,237,0.6349016587413211
9,hybrid,randomforest,237,0.6164936485611591
10,random,maxent,261,0.6283585720367328
10,random,xgboost,261,0.6351638995317156
10,random,randomforest,261,0.6185550082101805
10,tgb,maxent,261,0.6065884165501023
10,tgb,xgboost,261,0.625100853453344
10,tgb,randomforest,261,0.6251707920290296
10,hybrid,maxent,261,0.6079811064485394
10,hybrid,xgboost,261,0.6250086156216426
10,hybrid,randomforest,261,0.6235277423016887
11,random,maxent,60,0.6336067019400353
11,random,xgboost,60,0.6626984126984128
11,random,randomforest,60,0.7039947089947091
11,tgb,maxent,60,0.6375485008818342
11,tgb,xgboost,60,0.6799999999999999
11,tgb,randomforest,60,0.7111992945326279
11,hybrid,maxent,60,0.6014109347442681
11,hybrid,xgboost,60,0.6666225749559084
11,hybrid,randomforest,60,0.6874162257495591
12,random,maxent,196,0.6114674441205055
12,random,xgboost,196,0.5854942770759097
12,random,randomforest,196,0.569812925170068
12,tgb,maxent,196,0.6038521757909513
12,tgb,xgboost,196,0.5850313141129468
12,tgb,randomforest,196,0.5568864053557931
12,hybrid,maxent,196,0.6007180650037794
12,hybrid,xgboost,196,0.5847559658784148
12,hybrid,randomforest,196,0.5793448331713638
13,random,maxent,84,0.6979717813051146
13,random,xgboost,84,0.7315507684555302
13,random,randomforest,84,0.7124275636180397
13,tgb,maxent,84,0.6818657092466616
13,tgb,xgboost,84,0.7304547745023936
13,tgb,randomforest,84,0.7130574452003023
13,hybrid,maxent,84,0.652053413958176
13,hybrid,xgboost,84,0.7053036029226506
13,hybrid,randomforest,84,0.6998992189468379
14,random,maxent,172,0.5688261351052049
14,random,xgboost,172,0.6124953857511997
14,random,randomforest,172,0.6308631721422419
14,tgb,maxent,172,0.5281069275255321
14,tgb,xgboost,172,0.6083948566506706
14,tgb,randomforest,172,0.6264273409622247
14,hybrid,maxent,172,0.5560139042697182
14,hybrid,xgboost,172,0.6015011689430294
14,hybrid,randomforest,172,0.6360834256183092
15,random,maxent,205,0.6138133952768099
15,random,xgboost,205,0.5825603303652085
15,random,randomforest,205,0.6076758291392437
15,tgb,maxent,205,0.5971867337720996
15,tgb,xgboost,205,0.5977597109304427
15,tgb,randomforest,205,0.6079932894567041
15,hybrid,maxent,205,0.5918802426119499
15,hybrid,xgboost,205,0.6107600980771712
15,hybrid,randomforest,205,0.5944121822170602
16,random,maxent,157,0.6919826104539482
16,random,xgboost,157,0.6806086341118188
16,random,randomforest,157,0.7008391466990194
16,tgb,maxent,157,0.685485121153911
16,tgb,xgboost,157,0.6759714218312944
16,tgb,randomforest,157,0.6843426684191015
16,hybrid,maxent,157,0.6582246486705086
16,hybrid,xgboost,157,0.667647356182388
16,hybrid,randomforest,157,0.6838169379570653
17,random,maxent,144,0.6882495590828924
17,random,xgboost,144,0.6780239564961787
17,random,randomforest,144,0.7007091416813638
17,tgb,maxent,144,0.679291593180482
17,tgb,xgboost,144,0.6866732804232805
17,tgb,randomforest,144,0.7208204732510288
17,hybrid,maxent,144,0.6671186067019401
17,hybrid,xgboost,144,0.6740263080540859
17,hybrid,randomforest,144,0.7006246325690769
18,random,maxent,131,0.7050082798174402
18,random,xgboost,131,0.6561735126620623
18,random,randomforest,131,0.7041318308493881
18,tgb,maxent,131,0.7162284421826407
18,tgb,xgboost,131,0.6581727856537016
18,tgb,randomforest,131,0.6689850155499011
18,hybrid,maxent,131,0.6746637586332243
18,hybrid,xgboost,131,0.6489963245688437
18,hybrid,randomforest,131,0.6870067450220122
19,random,maxent,102,0.6626257910571637
19,random,xgboost,102,0.6360410830999066
19,random,randomforest,102,0.6428052702562506
19,tgb,maxent,102,0.6305270256250648
19,tgb,xgboost,102,0.6355897914721444
19,tgb,randomforest,102,0.6389926340906733
19,hybrid,maxent,102,0.5924732856105406
19,hybrid,xgboost,102,0.6407303662205623
19,hybrid,randomforest,102,0.6498858802780372
20,random,maxent,165,0.5382331248997916
20,random,xgboost,165,0.6103318903318903
20,random,randomforest,165,0.5894051627384961
20,tgb,maxent,165,0.5431361231361231
20,tgb,xgboost,165,0.6099470899470899
20,tgb,randomforest,165,0.5821805355138688
20,hybrid,maxent,165,0.5281257014590348
20,hybrid,xgboost,165,0.5889081289081288
20,hybrid,randomforest,165,0.597113997113997
21,random,maxent,67,0.5839690436705363
21,random,xgboost,67,0.5783463634209902
21,random,randomforest,67,0.5838032061912658
21,tgb,maxent,67,0.5854141988470347
21,tgb,xgboost,67,0.5741688383479429
21,tgb,randomforest,67,0.5795546079128169
21,hybrid,maxent,67,0.5905788517728817
21,hybrid,xgboost,67,0.5765142541261945
21,hybrid,randomforest,67,0.617191818684356
22,random,maxent,91,0.6346008488865632
22,random,xgboost,91,0.653979882551311
22,random,randomforest,91,0.663538577824292
22,tgb,maxent,91,0.6386592243735102
22,tgb,xgboost,91,0.6699110413396128
22,tgb,randomforest,91,0.673608930751788
22,hybrid,maxent,91,0.6127739984882843
22,hybrid,xgboost,91,0.6370370370370371
22,hybrid,randomforest,91,0.645991045991046
23,random,maxent,183,0.5609969063520976
23,random,xgboost,183,0.5988738543383352
23,random,randomforest,183,0.5781189464249573
23,tgb,maxent,183,0.5406366553907538
23,tgb,xgboost,183,0.5845375430074884
23,tgb,randomforest,183,0.542105415329459
23,hybrid,maxent,183,0.5359932922774453
23,hybrid,xgboost,183,0.602139532194177
23,hybrid,randomforest,183,0.5716699916153468
24,random,maxent,242,0.5804560759106213
24,random,xgboost,242,0.6285495649132012
24,random,randomforest,242,0.5750284227556954
24,tgb,maxent,242,0.5898202807293718
24,tgb,xgboost,242,0.6394595303686212
24,tgb,randomforest,242,0.5894125235034325
24,hybrid,maxent,242,0.584378416196598
24,hybrid,xgboost,242,0.6287004241549696
24,hybrid,randomforest,242,0.5764211377847742
25,random,maxent,136,0.5929310613134142
25,random,xgboost,136,0.6801548397136632
25,random,randomforest,136,0.6863211951447246
25,tgb,maxent,136,0.6000272331154684
25,tgb,xgboost,136,0.6724245253657019
25,tgb,randomforest,136,0.6674486461251167
25,hybrid,maxent,136,0.6047502334267041
25,hybrid,xgboost,136,0.6569911297852474
25,hybrid,randomforest,136,0.6776027077497666
26,random,maxent,266,0.6512431873334129
26,random,xgboost,266,0.6425368978000556
26,random,randomforest,266,0.5839121613557704
26,tgb,maxent,266,0.6356685364204161
26,tgb,xgboost,266,0.6521720969089391
26,tgb,randomforest,266,0.5848728965270318
