seed,beta,design,auc
0,0.5,random,0.6765520044720684
0,0.5,tgb,0.6667515224146696
0,0.5,hybrid,0.6576115760435453
0,1.0,random,0.6765139153014263
0,1.0,tgb,0.6675430884172225
0,1.0,hybrid,0.6581523235362238
0,1.5,random,0.6761438275667442
0,1.5,tgb,0.6689344096407213
0,1.5,hybrid,0.6576617772733842
0,2.5,random,0.6763440211360632
0,2.5,tgb,0.6696517548428327
0,2.5,hybrid,0.6577432698079952
0,4.0,random,0.6755328520647363
0,4.0,tgb,0.6698954912994076
0,4.0,hybrid,0.6590096006851416
1,0.5,random,0.6816956795601682
1,0.5,tgb,0.6930314329842446
1,0.5,hybrid,0.6933422480743123
1,1.0,random,0.6893620840390261
1,1.0,tgb,0.6908410594462949
1,1.0,hybrid,0.6950931128698995
1,1.5,random,0.6899494402353055
1,1.5,tgb,0.691708054890108
1,1.5,hybrid,0.6959631633620154
1,2.5,random,0.6902157710364956
1,2.5,tgb,0.6907691530104216
1,2.5,hybrid,0.6966001968270291
1,4.0,random,0.6910321886594828
1,4.0,tgb,0.6907881420063424
1,4.0,hybrid,0.6968112216957774
2,0.5,random,0.6920319483555455
2,0.5,tgb,0.7068691523883522
2,0.5,hybrid,0.6634465338774326
2,1.0,random,0.6957957570261427
2,1.0,tgb,0.7105669412284901
2,1.0,hybrid,0.6713551975381368
2,1.5,random,0.6983264596441419
2,1.5,tgb,0.7108680250605436
2,1.5,hybrid,0.6738846127208902
2,2.5,random,0.6998821839943365
2,2.5,tgb,0.711124773213926
2,2.5,hybrid,0.6757455973745221
2,4.0,random,0.7002792778019853
2,4.0,tgb,0.7105097326221931
2,4.0,hybrid,0.6767249991012327
3,0.5,random,0.6763210705332938
3,0.5,tgb,0.6796024135554325
3,0.5,hybrid,0.6500442457634569
3,1.0,random,0.6818008741368056
3,1.0,tgb,0.6829876385795602
3,1.0,hybrid,0.6490658523494259
3,1.5,random,0.684775218049654
3,1.5,tgb,0.6850015505051139
3,1.5,hybrid,0.6501568948262457
3,2.5,random,0.686051517244227
3,2.5,tgb,0.6862199345240846
3,2.5,hybrid,0.6510952440064275
3,4.0,random,0.6867823141032973
3,4.0,tgb,0.6865764648930821
3,4.0,hybrid,0.6519384644763025
4,0.5,random,0.6943887168475817
4,0.5,tgb,0.696714263295462
4,0.5,hybrid,0.6747048804800844
4,1.0,random,0.6985747526351335
4,1.0,tgb,0.6990705467473128
4,1.0,hybrid,0.6751227074194364
4,1.5,random,0.7016047942297498
4,1.5,tgb,0.6990987118359802
4,1.5,hybrid,0.6758267051943168
4,2.5,random,0.7031666022995472
4,2.5,tgb,0.6986754579024151
4,2.5,hybrid,0.676822014074697
4,4.0,random,0.7039414350433848
4,4.0,tgb,0.6982907338358537
4,4.0,hybrid,0.6767814871041634
5,0.5,random,0.6688798491225858
5,0.5,tgb,0.6530226264861543
5,0.5,hybrid,0.6429781335948227
5,1.0,random,0.6727069196159026
5,1.0,tgb,0.6562198142447871
5,1.0,hybrid,0.6440296363084321
5,1.5,random,0.6747542294001383
5,1.5,tgb,0.6574187872900614
5,1.5,hybrid,0.6450195045673397
5,2.5,random,0.6749175793799502
5,2.5,tgb,0.6574823513380237
5,2.5,hybrid,0.6457330578838679
5,4.0,random,0.6748759574093486
5,4.0,tgb,0.6576926393889808
5,4.0,hybrid,0.6465521008474047
6,0.5,random,0.6912036900437777
6,0.5,tgb,0.664974099049912
6,0.5,hybrid,0.6693832612971333
6,1.0,random,0.694328443881257
6,1.0,tgb,0.6750700113028076
6,1.0,hybrid,0.6727812842689052
6,1.5,random,0.6958792760024066
6,1.5,tgb,0.678546613932373
6,1.5,hybrid,0.6727936967204196
6,2.5,random,0.6961390742028624
6,2.5,tgb,0.6792749954414892
6,2.5,hybrid,0.6729268313874883
6,4.0,random,0.6965387140465512
6,4.0,tgb,0.6809253074932278
6,4.0,hybrid,0.6727593167435127
7,0.5,random,0.6959775166537727
7,0.5,tgb,0.6949780568997428
7,0.5,hybrid,0.6635189885512984
7,1.0,random,0.6964553901291516
7,1.0,tgb,0.6952942897148615
7,1.0,hybrid,0.6661966817302843
7,1.5,random,0.6974272043311333
7,1.5,tgb,0.6952285914839926
7,1.5,hybrid,0.6684252134293448
7,2.5,random,0.6977285175887916
7,2.5,tgb,0.6962189611982479
7,2.5,hybrid,0.6702584365874892
7,4.0,random,0.6976722815117803
7,4.0,tgb,0.6955348648873968
7,4.0,hybrid,0.6706078630647687
8,0.5,random,0.6718517612028736
8,0.5,tgb,0.7050300098455808
8,0.5,hybrid,0.6615491520283545
8,1.0,random,0.675529256603502
8,1.0,tgb,0.7101119083665659
8,1.0,hybrid,0.6587430916004664
8,1.5,random,0.677449340402376
8,1.5,tgb,0.7109793525635244
8,1.5,hybrid,0.6600131819851593
8,2.5,random,0.678519856115085
8,2.5,tgb,0.7108387397002186
8,2.5,hybrid,0.6596296484357342
8,4.0,random,0.6790172482320053
8,4.0,tgb,0.7105111009262035
8,4.0,hybrid,0.6590584425969356
9,0.5,random,0.6815864047153352
9,0.5,tgb,0.6850557499322293
9,0.5,hybrid,0.656019576170577
9,1.0,random,0.684241483881558
9,1.0,tgb,0.6837075799112821
9,1.0,hybrid,0.6631605523879582
9,1.5,random,0.6848705341690818
9,1.5,tgb,0.6848667891426475
9,1.5,hybrid,0.665598158824004
9,2.5,random,0.6860051233162457
9,2.5,tgb,0.6867137859157262
9,2.5,hybrid,0.6654385310751579
9,4.0,random,0.6854323056266522
9,4.0,tgb,0.6870448417839043
9,4.0,hybrid,0.6655812458753788
