threshold,algorithm,design,kstar
0.85,maxent,hybrid,3
0.85,maxent,random,3
0.85,maxent,tgb,2
0.85,randomforest,hybrid,3
0.85,randomforest,random,2
0.85,randomforest,tgb,2
0.85,xgboost,hybrid,5
0.85,xgboost,random,4
0.85,xgboost,tgb,5
0.9,maxent,hybrid,4
0.9,maxent,random,4
0.9,maxent,tgb,4
0.9,randomforest,hybrid,4
0.9,randomforest,random,4
0.9,randomforest,tgb,4
0.9,xgboost,hybrid,7
0.9,xgboost,random,7
0.9,xgboost,tgb,7
0.95,maxent,hybrid,8
0.95,maxent,random,8
0.95,maxent,tgb,7
0.95,randomforest,hybrid,8
0.95,randomforest,random,7
0.95,randomforest,tgb,7
0.95,xgboost,hybrid,9
0.95,xgboost,random,9
0.95,xgboost,tgb,9
