arm,world,config,algorithm,n_observed,auc_own,auc_true,map_jaccard,spearman_full,spearman_remote
no_road,0,random,maxent,501,0.853614812477279,0.8295569570128423,0.7092754960775265,0.9851688993771208,0.9657132263812607
no_road,0,random,xgboost,501,0.8372940263044782,0.8083973945754497,0.5194650695327563,0.9188886433118887,0.8691785615307316
no_road,0,random,randomforest,501,0.8474474989655227,0.8137755431704983,0.6496926868374951,0.9389328496809995,0.8668336260291639
with_road,0,random,maxent,501,0.8539201415381882,0.827726362773953,0.6978105089458968,0.981342706494797,0.9591962914552246
with_road,0,random,xgboost,501,0.8446983442699498,0.8033011706337463,0.49906915252408063,0.9168623296960745,0.8545112363792248
with_road,0,random,randomforest,501,0.8482289231509406,0.8158075494911021,0.6623780743223027,0.9401009854984113,0.8951603728732257
no_road,0,tgb,maxent,501,0.8510409318248582,0.8303471318028265,0.6937475230924001,0.9852421450997022,0.9556429265817403
no_road,0,tgb,xgboost,501,0.8332421300764095,0.7935965528108734,0.5218790659453537,0.914341601544112,0.8751217524337859
no_road,0,tgb,randomforest,501,0.8451574322024069,0.8157822257366675,0.6212667240549177,0.9384703726920134,0.8603385612349145
with_road,0,tgb,maxent,501,0.8509008582354118,0.8280251656578562,0.6943673568967095,0.9809793770261882,0.9379334326829728
with_road,0,tgb,xgboost,501,0.8416722873660246,0.7998923361636183,0.5,0.9131314153403574,0.8620282034959735
with_road,0,tgb,randomforest,501,0.8466147927496998,0.8180350001580381,0.6299229922992299,0.9425898754094364,0.8956121056963311
no_road,1,random,maxent,498,0.856954958339988,0.8505643834350636,0.8757279586772674,0.9931966336334508,0.973214358896901
no_road,1,random,xgboost,498,0.8314413605999411,0.8389891133253528,0.62297165057619,0.9513018800383422,0.9041792604949673
no_road,1,random,randomforest,498,0.8454842934435112,0.8437036364432691,0.7270480719914207,0.9485533729938231,0.8611656543973454
with_road,1,random,maxent,498,0.8573391233588838,0.8506603558454173,0.8670295881848884,0.9927672266221745,0.9739875093005889
with_road,1,random,xgboost,498,0.8344180288302147,0.835403576265269,0.5871111491987316,0.9471610354510914,0.9102851038258487
with_road,1,random,randomforest,498,0.8478886756826294,0.84279754554584,0.7139684106614018,0.9461067062238486,0.85193515125791
no_road,1,tgb,maxent,498,0.8508721881221835,0.8486455333158591,0.7707237785639163,0.9889223197235685,0.9691051120410242
no_road,1,tgb,xgboost,498,0.8291717850016591,0.8383533756982354,0.5482792253030514,0.9527402353164063,0.9194738157059562
no_road,1,tgb,randomforest,498,0.8389816462906593,0.8425705459004778,0.7023884301319075,0.9478914413853756,0.8533301168554838
with_road,1,tgb,maxent,498,0.8495531679512898,0.8493368917704747,0.7713165319688202,0.9887017228356769,0.9684349966284702
with_road,1,tgb,xgboost,498,0.8296292204134513,0.8355829033572831,0.5341921053721576,0.9494659050989037,0.9183992222316818
with_road,1,tgb,randomforest,498,0.8401821004435416,0.8429725120871314,0.7028580185426404,0.9478333406757029,0.864641810352527
no_road,2,random,maxent,501,0.8602488733926801,0.8383515707636487,0.8395828159920536,0.9753703671935645,0.918801174699633
no_road,2,random,xgboost,501,0.8408585783502257,0.8224760747088435,0.572000509287422,0.9342073730019719,0.874498798469989
no_road,2,random,randomforest,501,0.849527905432458,0.836953774478939,0.7372815108970951,0.9629704848278471,0.8890918346619279
